"i","n","fsc","chl","pe","file"
"picoeuk","7934","26","10","3","2017-05-05T21-25-36-07-00"
"beads","399","723","41","553","2017-05-05T21-25-36-07-00"
"picoeuk","10500","25","9","3","2017-05-05T21-28-36-07-00"
"beads","384","730","42","574","2017-05-05T21-28-36-07-00"
"picoeuk","2389","22","8","3","2017-05-05T21-31-36-07-00"
"beads","51","736","47","612","2017-05-05T21-31-36-07-00"
"picoeuk","86422","62","29","3","2017-05-05T21-54-13-07-00"
"beads","1499","775","48","631","2017-05-05T21-54-13-07-00"
"picoeuk","107972","58","27","3","2017-05-05T21-57-13-07-00"
"beads","3952","758","43","566","2017-05-05T21-57-13-07-00"
"picoeuk","14467","49","20","3","2017-05-05T22-00-13-07-00"
"beads","230","764","43","567","2017-05-05T22-00-13-07-00"
"beads","5228","756","44","587","2017-05-05T22-12-32-07-00"
"picoeuk","29727","35","29","3","2017-05-05T22-12-32-07-00"
"beads","4411","752","45","588","2017-05-05T22-15-32-07-00"
"picoeuk","25648","37","31","3","2017-05-05T22-15-32-07-00"
"picoeuk","6364","34","30","3","2017-05-05T22-18-32-07-00"
"beads","1096","768","43","586","2017-05-05T22-18-32-07-00"
"picoeuk","15015","50","37","3","2017-05-05T22-26-14-07-00"
"beads","17","781","38","539","2017-05-05T22-26-14-07-00"
"picoeuk","10999","58","44","3","2017-05-05T22-29-14-07-00"
"beads","168","781","43","585","2017-05-05T22-29-14-07-00"
"picoeuk","1095","47","33","3","2017-05-05T22-32-14-07-00"
"beads","18","815","46","619","2017-05-05T22-32-14-07-00"
"picoeuk","98602","125","86","77","2017-05-05T22-53-09-07-00"
"beads","2565","751","46","599","2017-05-05T22-53-09-07-00"
"picoeuk","71622","150","101","92","2017-05-05T22-56-10-07-00"
"beads","9904","790","49","635","2017-05-05T22-56-10-07-00"
"picoeuk","29431","135","90","82","2017-05-05T22-59-10-07-00"
"beads","5608","778","45","589","2017-05-05T22-59-10-07-00"
"picoeuk","67943","156","69","68","2017-05-05T23-14-44-07-00"
"beads","354","755","45","587","2017-05-05T23-14-44-07-00"
"picoeuk","66791","153","72","69","2017-05-05T23-17-44-07-00"
"beads","415","761","46","598","2017-05-05T23-17-44-07-00"
"picoeuk","3675","118","60","59","2017-05-05T23-20-44-07-00"
"beads","126","802","45","577","2017-05-05T23-20-44-07-00"
"picoeuk","8123","579","758","28","2017-02-23T22-06-25-08-00"
"beads","54","168","13","1058","2017-02-23T22-06-25-08-00"
"picoeuk","6295","570","748","28","2017-02-23T22-09-25-08-00"
"beads","125","183","13","1109","2017-02-23T22-09-25-08-00"
"picoeuk","298","528","693","25","2017-02-23T22-12-25-08-00"
"beads","20","161","10","831","2017-02-23T22-12-25-08-00"
"picoeuk","11365","189","411","6","2017-02-23T22-25-30-08-00"
"beads","37","175","22","1022","2017-02-23T22-25-30-08-00"
"picoeuk","13927","178","358","5","2017-02-23T22-28-30-08-00"
"beads","16","178","25","1178","2017-02-23T22-28-30-08-00"
"picoeuk","425","156","298","5","2017-02-23T22-31-30-08-00"
"beads","6","138","25","965","2017-02-23T22-31-30-08-00"
"picoeuk","6465","400","580","12","2017-02-23T22-47-05-08-00"
"beads","893","190","23","1085","2017-02-23T22-47-05-08-00"
"picoeuk","6252","375","511","11","2017-02-23T22-50-05-08-00"
"beads","1205","188","22","1039","2017-02-23T22-50-05-08-00"
"picoeuk","154","339","442","9","2017-02-23T22-53-05-08-00"
"beads","29","191","23","1097","2017-02-23T22-53-05-08-00"
"picoeuk","7705","311","302","8","2017-02-23T23-12-42-08-00"
"beads","9","169","26","1060","2017-02-23T23-12-42-08-00"
"picoeuk","19426","303","304","8","2017-02-23T23-13-53-08-00"
"beads","32","163","21","1019","2017-02-23T23-13-53-08-00"
"picoeuk","16499","288","304","8","2017-02-23T23-16-53-08-00"
"beads","103","165","24","1082","2017-02-23T23-16-53-08-00"
"picoeuk","1277","261","251","7","2017-02-23T23-19-54-08-00"
"beads","15","167","24","1106","2017-02-23T23-19-54-08-00"
"picoeuk","20958","66","525","8","2017-02-23T23-32-08-08-00"
"beads","26","179","24","1110","2017-02-23T23-32-08-08-00"
"picoeuk","14679","68","585","8","2017-02-23T23-35-08-08-00"
"beads","73","159","21","994","2017-02-23T23-35-08-08-00"
"picoeuk","2649","51","362","6","2017-02-23T23-38-08-08-00"
"beads","8","171","26","1139","2017-02-23T23-38-08-08-00"
"beads","24","143","15","754","2017-02-24T22-57-21-08-00"
"picoeuk","302","22","93","2","2017-02-24T22-57-21-08-00"
"picoeuk","121","25","92","2","2017-02-24T23-00-21-08-00"
"beads","441","17","9","516","2017-02-24T23-00-21-08-00"
"picoeuk","8876","99","43","3","2017-02-24T23-06-25-08-00"
"beads","2204","162","22","1101","2017-02-24T23-06-25-08-00"
"picoeuk","9528","100","42","3","2017-02-24T23-09-25-08-00"
"beads","2570","167","22","1091","2017-02-24T23-09-25-08-00"
"beads","28","179","25","1178","2017-02-24T23-12-26-08-00"
"picoeuk","97","115","55","3","2017-02-24T23-12-26-08-00"
