"i","n","fsc","chl","pe","file","norm.fsc","norm.chl"
"picoeuk",133,779,882,34,"2017-02-23T22-06-25-08-00",4.31,33.39
"picoeuk",146,799,871,33,"2017-02-23T22-09-25-08-00",4.42,34.24
"picoeuk",1377,275,553,8,"2017-02-23T22-25-30-08-00",1.52,11.79
"picoeuk",1282,262,523,7,"2017-02-23T22-28-30-08-00",1.45,11.23
"picoeuk",322,578,920,21,"2017-02-23T22-47-05-08-00",3.2,24.77
"picoeuk",318,566,887,20,"2017-02-23T22-50-05-08-00",3.13,24.26
"picoeuk",1801,430,572,14,"2017-02-23T23-13-53-08-00",2.38,18.43
"picoeuk",597,439,646,15,"2017-02-23T23-16-53-08-00",2.43,18.81
"picoeuk",468,87,777,11,"2017-02-23T23-32-08-08-00",0.48,3.73
"picoeuk",19,242,608,10,"2017-02-23T23-35-08-08-00",1.34,10.37
"picoeuk",562,143,75,3,"2017-02-24T23-06-25-08-00",0.79,6.13
"picoeuk",545,140,75,3,"2017-02-24T23-09-25-08-00",0.77,6
"picoeuk",1709,31,10,3,"2017-05-05T21-25-36-07-00",0.04,0.69
"picoeuk",1512,32,10,3,"2017-05-05T21-28-36-07-00",0.04,0.71
"picoeuk",3280,61,25,3,"2017-05-05T21-54-13-07-00",0.08,1.36
"picoeuk",3874,59,24,3,"2017-05-05T21-57-13-07-00",0.08,1.31
"picoeuk",3618,42,38,3,"2017-05-05T22-12-32-07-00",0.05,0.93
"picoeuk",3915,42,39,3,"2017-05-05T22-15-32-07-00",0.05,0.93
"picoeuk",2867,66,55,3,"2017-05-05T22-26-14-07-00",0.09,1.47
"picoeuk",2841,66,56,3,"2017-05-05T22-29-14-07-00",0.09,1.47
"picoeuk",10709,133,92,81,"2017-05-05T22-53-09-07-00",0.17,2.96
"picoeuk",6834,142,95,85,"2017-05-05T22-56-10-07-00",0.18,3.16
"picoeuk",6829,120,76,63,"2017-05-05T23-14-44-07-00",0.16,2.67
"picoeuk",8429,125,79,65,"2017-05-05T23-17-44-07-00",0.16,2.78
